stu.jnu.edu.cn      58.248.169.229  
pop3.jnu.edu.cn      58.248.169.229  
smtp.jnu.edu.cn      58.248.169.229  
mail1.jnu.edu.cn      113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7  
sso.jnu.edu.cn      113.195.63.18,113.195.63.10,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.19  
mail.jnu.edu.cn      113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7  
webmail.jnu.edu.cn      113.195.63.17,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.20,113.195.63.11,113.195.63.18,113.195.63.9,113.195.63.15,113.195.63.12  
portal.jnu.edu.cn      113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11  
cwc.jnu.edu.cn      113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.20,113.195.63.11,113.195.63.17  
gs.jnu.edu.cn      113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11  
sms.jnu.edu.cn      113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7  
i.jnu.edu.cn      113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9  
ftp.jnu.edu.cn      113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.18,113.195.63.19,113.195.63.10  
sz.jnu.edu.cn      58.248.169.242  
news.jnu.edu.cn      113.195.63.13,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7  
imap.jnu.edu.cn      58.248.169.229  
cdn.jnu.edu.cn      184.51.198.25,184.51.198.59  
live.jnu.edu.cn      113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10  
email.jnu.edu.cn      58.248.169.229  
web.jnu.edu.cn      113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.14,113.195.63.20  
my.jnu.edu.cn      113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10  
proxy.jnu.edu.cn      113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10  
cms.jnu.edu.cn      113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10  
www.jnu.edu.cn      113.195.63.17,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11  
vpn.jnu.edu.cn      113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.17,113.195.63.9,113.195.63.15  
info.jnu.edu.cn      113.195.63.15,113.195.63.12,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9  
pop.jnu.edu.cn      58.248.169.229  
photo.jnu.edu.cn      113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9  
login.jnu.edu.cn      113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.11  
sc.jnu.edu.cn      113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9  
tv.jnu.edu.cn      113.195.63.14,113.195.63.20,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16  
survey.jnu.edu.cn      113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4  
ms.jnu.edu.cn      113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.20,113.195.63.11,113.195.63.17  
lab.jnu.edu.cn      113.195.63.4,113.195.63.7,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10  
software.jnu.edu.cn      113.195.63.20,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14  
english.jnu.edu.cn      113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.11,113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18  
tw.jnu.edu.cn      113.195.63.11,113.195.63.17,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20  
monitor.jnu.edu.cn      113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.15,113.195.63.12,113.195.63.18  
svn.jnu.edu.cn      113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.9,113.195.63.15  
lib.jnu.edu.cn      113.195.63.17,113.195.63.9,113.195.63.15,113.195.63.12,113.195.63.18,113.195.63.19,113.195.63.10,113.195.63.14,113.195.63.20,113.195.63.11  
share.jnu.edu.cn      113.195.63.10,113.195.63.4,113.195.63.7,113.195.63.13,113.195.63.16,113.195.63.14,113.195.63.20,113.195.63.12,113.195.63.18,113.195.63.19  
