host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
113.195.63.20;20.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8443;https-alt;open;;;syn-ack;;3;
113.195.63.20;20.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;9100;jetdirect;closed;;;reset;;3;
113.195.63.20;20.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;9999;abyss;open;;;syn-ack;;3;
113.195.63.20;20.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;10000;snet-sensor-mgmt;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;21;ftp;closed;;;reset;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;53;domain;closed;;;reset;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;80;http;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;81;hosts2-ns;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;88;kerberos-sec;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;111;rpcbind;closed;;;reset;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;443;https;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8000;http-alt;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8009;ajp13;closed;;;reset;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8080;http-proxy;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8081;blackice-icecap;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8443;https-alt;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;9100;jetdirect;closed;;;reset;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;9999;abyss;open;;;syn-ack;;3;
113.195.63.10;10.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;10000;snet-sensor-mgmt;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;21;ftp;closed;;;reset;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;53;domain;closed;;;reset;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;80;http;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;81;hosts2-ns;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;88;kerberos-sec;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;111;rpcbind;closed;;;reset;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;443;https;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8000;http-alt;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8009;ajp13;closed;;;reset;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8080;http-proxy;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8081;blackice-icecap;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8443;https-alt;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;9100;jetdirect;closed;;;reset;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;9999;abyss;open;;;syn-ack;;3;
113.195.63.7;7.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;10000;snet-sensor-mgmt;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;21;ftp;closed;;;reset;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;53;domain;closed;;;reset;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;80;http;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;81;hosts2-ns;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;88;kerberos-sec;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;111;rpcbind;closed;;;reset;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;443;https;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8000;http-alt;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8009;ajp13;closed;;;reset;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8080;http-proxy;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8081;blackice-icecap;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;8443;https-alt;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;9100;jetdirect;closed;;;reset;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;9999;abyss;open;;;syn-ack;;3;
113.195.63.13;13.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;10000;snet-sensor-mgmt;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
184.51.198.59;a184-51-198-59.deploy.static.akamaitechnologies.com;PTR;tcp;80;http;open;;;syn-ack;;3;
184.51.198.59;a184-51-198-59.deploy.static.akamaitechnologies.com;PTR;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
202.116.0.181;register.jnu.edu.cn;PTR;tcp;22;ssh;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;23;telnet;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;25;smtp;open;;;syn-ack;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;53;domain;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;80;http;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;135;msrpc;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;139;netbios-ssn;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;443;https;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;445;microsoft-ds;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;587;submission;open;;;syn-ack;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;1025;NFS-or-IIS;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;1433;ms-sql-s;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;3128;squid-http;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;3306;mysql;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;3389;ms-wbt-server;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;5900;vnc;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;8000;http-alt;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;8080;http-proxy;filtered;;;no-response;;3;
202.116.0.181;register.jnu.edu.cn;PTR;tcp;8443;https-alt;filtered;;;no-response;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
218.19.141.6;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
58.248.169.242;;;tcp;80;http;open;;;syn-ack;;3;
58.248.169.242;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
113.195.63.11;11.63.195.113.adsl-pool.jx.chinaunicom.com;PTR;tcp;21;ftp;closed;;;reset;;3;
