202.195.235.158;;;tcp;80;http;open;;;syn-ack;;3;
202.195.235.158;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
42.159.33.136;;;tcp;80;http;open;;;syn-ack;;3;
42.159.33.136;;;tcp;110;pop3;closed;;;reset;;3;
42.159.33.136;;;tcp;143;imap;closed;;;reset;;3;
42.159.33.136;;;tcp;443;https;closed;;;reset;;3;
42.159.33.136;;;tcp;587;submission;closed;;;reset;;3;
42.159.33.136;;;tcp;993;imaps;closed;;;reset;;3;
42.159.33.136;;;tcp;995;pop3s;closed;;;reset;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
202.195.235.149;;;tcp;80;http;open;;;syn-ack;;3;
202.195.235.149;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
222.190.109.126;;;tcp;80;http;open;;;syn-ack;;3;
222.190.109.126;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
42.159.233.91;;;tcp;80;http;open;;;syn-ack;;3;
42.159.233.91;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
202.195.235.151;;;tcp;443;https;open;;;syn-ack;;3;
202.195.235.151;;;tcp;8080;http-proxy;closed;;;reset;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
202.195.237.170;;;tcp;80;http;closed;;;reset;;3;
202.195.237.170;;;tcp;443;https;closed;;;reset;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
202.195.231.20;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
42.159.132.138;;;tcp;80;http;open;;;syn-ack;;3;
42.159.132.138;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
42.159.161.184;;;tcp;80;http;open;;;syn-ack;;3;
42.159.161.184;;;tcp;110;pop3;closed;;;reset;;3;
42.159.161.184;;;tcp;143;imap;closed;;;reset;;3;
42.159.161.184;;;tcp;443;https;closed;;;reset;;3;
42.159.161.184;;;tcp;587;submission;closed;;;reset;;3;
42.159.161.184;;;tcp;993;imaps;closed;;;reset;;3;
42.159.161.184;;;tcp;995;pop3s;closed;;;reset;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
202.195.237.179;;;tcp;80;http;open;;;syn-ack;;3;
202.195.237.179;;;tcp;443;https;open;;;syn-ack;;3;
202.195.237.179;;;tcp;8080;http-proxy;open;;;syn-ack;;3;
202.195.237.179;;;tcp;8443;https-alt;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
218.94.124.50;;;tcp;80;http;open;;;syn-ack;;3;
218.94.124.50;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
42.159.34.46;;;tcp;80;http;closed;;;reset;;3;
42.159.34.46;;;tcp;443;https;open;;;syn-ack;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
202.195.224.35;;;tcp;80;http;open;;;syn-ack;;3;
202.195.224.35;;;tcp;443;https;closed;;;reset;;3;

host;hostname;hostname_type;protocol;port;name;state;product;extrainfo;reason;version;conf;cpe
202.195.237.171;;;tcp;80;http;closed;;;reset;;3;
202.195.237.171;;;tcp;443;https;closed;;;reset;;3;

